DataSet,ROC_AUC,Recall,Specificity,F1
dataset_1045_kc1-top5.csv,0.689021164021164,0.978042328042328,0.4,0.9710293314762033
dataset_312_scene.csv,0.9075724175048631,0.8353916065223203,0.9797532284874058,0.8665567981436958
dataset_1059_ar1.csv,0.48636363636363633,0.0,0.9727272727272727,0.0
dataset_1023_soybean.csv,0.9380011594289812,0.8912280701754385,0.984774248682524,0.8955036083753141
dataset_949_arsenic-female-bladder.csv,0.6165350877192983,0.9205701754385966,0.3125,0.9044316773454142
dataset_1021_page-blocks.csv,0.9472147507037739,0.9837152156932621,0.9107142857142858,0.9867246073781992
dataset_954_spectrometer.csv,0.9055612041467306,0.8363636363636363,0.9747587719298245,0.8154545454545454
dataset_962_mfeat-morphological.csv,0.9919444444444444,0.985,0.9988888888888889,0.9875270145106514
dataset_980_optdigits.csv,0.9630459103973641,0.9300533943554538,0.9960384264392743,0.9465990869257741
dataset_951_arsenic-male-lung.csv,1.0,1.0,1.0,1.0
dataset_971_mfeat-fourier.csv,0.9875,0.975,1.0,0.9872768581629341
dataset_940_water-treatment.csv,0.8912265917602996,0.825,0.9574531835205992,0.8016934046345812
dataset_978_mfeat-factors.csv,0.9797222222222223,0.96,0.9994444444444444,0.9768130521406115
dataset_984_analcatdata_draft.csv,0.5582574142275635,0.15238095238095237,0.9641338760741747,0.21333333333333332
dataset_865_analcatdata_neavote.csv,0.4894736842105264,0.0,0.9789473684210528,0.0
dataset_1022_mfeat-pixel.csv,0.9816666666666667,0.9649999999999999,0.9983333333333334,0.9746550231833137
dataset_1061_ar4.csv,0.6434640522875817,0.4,0.8869281045751635,0.43015873015873013
dataset_867_visualizing_livestock.csv,0.7333333333333333,0.8666666666666666,0.6,0.8803167148601068
dataset_1056_mc1.csv,0.6605102592763525,0.321978021978022,0.9990424965746832,0.4401837928153718
dataset_995_mfeat-zernike.csv,0.9736111111111111,0.95,0.9972222222222221,0.9620181037902558
dataset_1050_pc3.csv,0.6364041052364006,0.33125,0.9415582104728012,0.3595478595478595
dataset_1064_ar6.csv,0.5924836601307188,0.26666666666666666,0.9183006535947712,0.2571428571428571
dataset_968_analcatdata_birthday.csv,0.8038667783829074,0.7072727272727273,0.9004608294930876,0.6077822433321155
dataset_767_analcatdata_apnea1.csv,0.8762588816805683,0.980722891566265,0.7717948717948718,0.9735760981060253
dataset_1020_mfeat-karhunen.csv,0.9669444444444444,0.9349999999999999,0.9988888888888889,0.9613633978723918
dataset_316_yeast_ml8.csv,0.5,0.0,1.0,0.0
dataset_1000_hypothyroid.csv,0.9910940154026286,0.9925328583914643,0.9896551724137931,0.9958182980653689
dataset_947_arsenic-male-bladder.csv,0.787196261682243,0.994392523364486,0.5800000000000001,0.9879326169622809
dataset_958_segment.csv,0.9921717171717171,0.9878787878787879,0.9964646464646464,0.9834105076210339
dataset_1039_hiva_agnostic.csv,0.638460953346856,0.28206896551724137,0.9948529411764706,0.3866197470420237
dataset_1018_ipums_la_99-small.csv,0.657117545474811,0.9728129515302772,0.3414221394193448,0.9641297243514428
dataset_1014_analcatdata_dmft.csv,0.48077937453113273,0.012903225806451613,0.9486555232558139,0.019901719901719902
dataset_987_collins.csv,0.99375,0.9875,1.0,0.9935483870967742
dataset_976_JapaneseVowels.csv,0.9665411469973122,0.9510528238755457,0.9820294701190788,0.9305628502243086
dataset_1002_ipums_la_98-small.csv,0.6111627168045943,0.9542894492130418,0.2680359843961468,0.9352011585411276
dataset_38_sick.csv,0.9311648716850197,0.874190564292322,0.9881391790777174,0.8499632122702309
dataset_1004_synthetic_control.csv,1.0,1.0,1.0,1.0
dataset_757_meta.csv,0.6778244935355798,0.9283762597984323,0.42727272727272725,0.9311288637165129
dataset_450_analcatdata_lawsuit.csv,0.9729591836734695,0.95,0.9959183673469388,0.9492063492063492
dataset_1049_pc4.csv,0.8276587301587301,0.7303174603174604,0.925,0.6446950171459975
dataset_875_analcatdata_chlamydia.csv,0.9194852941176471,0.9389705882352942,0.9,0.9555938416422288
dataset_764_analcatdata_apnea3.csv,0.812313003452244,0.9518987341772153,0.6727272727272727,0.9530699820349502
dataset_1013_analcatdata_challenger.csv,0.4769230769230769,0.0,0.9538461538461538,0.0
dataset_950_arsenic-female-lung.csv,0.8398148148148147,0.9962962962962962,0.6833333333333333,0.9926181159386249
dataset_1016_vowel.csv,0.9711111111111113,0.9444444444444444,0.9977777777777778,0.9587837837837838
dataset_765_analcatdata_apnea2.csv,0.8970734721248974,0.9659418160446664,0.8282051282051283,0.9694410302779989
dataset_463_backache.csv,0.6109677419354839,0.27999999999999997,0.9419354838709678,0.3242857142857143
dataset_311_oil_spill.csv,0.7230276225946617,0.4583333333333333,0.98772191185599,0.5053795877325289
dataset_966_analcatdata_halloffame.csv,0.811127572016461,0.9662551440329219,0.656,0.9654452910220126
dataset_1065_kc3.csv,0.6384036144578313,0.325,0.9518072289156627,0.36707730865625604
